PERIOD,Bludgeoned,Break on Wheel,Burned,Electrocution,Firing Squad,Gas,Gibbeted,Hanging,Hung in Chains,Lethal Injection,Other / Unknown,Pressing,Shot
1600,,,,,,,,,,,,,1.0
1620,,,,,,,,3.0,,,,,
1630,,,,,,,,12.0,,,,,
1640,,,,,,,,12.0,,,1.0,,
1650,,,,,,,,15.0,,,,,1.0
1660,,,,,,,,14.0,,,1.0,,1.0
1670,,,,,,,,26.0,,,3.0,,9.0
1680,,,1.0,,,,,20.0,,,,,2.0
1690,,,,,,,,39.0,,,,1.0,
1700,1.0,,1.0,,,,3.0,26.0,,,,,
1710,,1.0,8.0,,,,,58.0,1.0,,2.0,,
1720,,,1.0,,,,,62.0,4.0,,4.0,,
1730,,7.0,6.0,,,,,93.0,,,,,
1740,,1.0,19.0,,,,1.0,78.0,3.0,,2.0,,
1750,,3.0,7.0,,,,2.0,89.0,,,1.0,,
1760,,,3.0,,,,,143.0,,,1.0,,7.0
1770,,,7.0,,,,,228.0,,,3.0,,15.0
1780,,,3.0,,,,,276.0,,,6.0,,
1790,,,2.0,,,,,193.0,,,23.0,,1.0
1800,,,5.0,,,,,201.0,,,,,1.0
1810,1.0,,,,,,,171.0,,,17.0,,8.0
1820,,,3.0,,,,,371.0,,1.0,,,9.0
1830,,,,,,,,340.0,,,,,5.0
1840,,,,,,,,312.0,,,1.0,,9.0
1850,,,,,,,,592.0,,,,,3.0
1860,,,,,,,,549.0,,,2.0,,13.0
1870,,,,,,,,607.0,,,,,1.0
1880,,,,,,,,989.0,,,,,13.0
1890,,,,58.0,,,,1028.0,,,,,13.0
1900,,,,133.0,,,,1148.0,,,,,2.0
1910,,,,454.0,,,,599.0,1.0,,,,9.0
1920,,,,828.0,,2.0,,456.0,,,,,8.0
1930,,,,1179.0,,105.0,,356.0,,,,,2.0
1940,,,,894.0,,246.0,,117.0,,,,,4.0
1950,,,,484.0,,134.0,,25.0,,,,,5.0
1960,,,,95.0,,49.0,,10.0,,,,,1.0
1970,,,,1.0,1.0,1.0,,,,,,,
1980,,,,72.0,,4.0,,,,42.0,,,
1990,,,,20.0,1.0,,,1.0,,111.0,,,
2000,,,,6.0,,,,,,398.0,,,
2010,,,,2.0,1.0,,,,,257.0,,,
